,term,df,SumOfSqs,R2,statistic,p.value,genotype
1,as.factor(final.genotype),2,307.890062963512,0.110951374040905,0.811186149112913,0.73,full
2,Residual,13,2467.10993703649,0.889048625959095,NA,NA,full
3,Total,15,2775,1,NA,NA,full
4,as.factor(presenceC),1,146.554113838899,0.0528122932752791,0.780597236012047,0.65,presenceC
5,Residual,14,2628.4458861611,0.947187706724721,NA,NA,presenceC
6,Total,15,2775,1,NA,NA,presenceC
7,as.factor(presenceT),1,192.701796616845,0.0694420888709352,1.04473803571614,0.331,presenceT
8,Residual,14,2582.29820338315,0.930557911129065,NA,NA,presenceT
9,Total,15,2775,1,NA,NA,presenceT
10,as.factor(het),1,124.057367518095,0.0447053576641784,0.655164364544273,0.851,het
11,Residual,14,2650.9426324819,0.955294642335822,NA,NA,het
12,Total,15,2775,1,NA,NA,het
